"xn",".chain",".iteration",".draw","xt3","xt2_5","xt2","xt1_5","xt1"
1.09696919097964,1,1,1,1.3401568766414,1.40023935081415,1.49885408522783,1.68886732731253,2.19035385378723
0.29620139514686,1,2,2,0.324198802312634,0.329981840811688,0.338720379995379,0.353409622261299,0.383125983054855
0.277401533275912,1,3,3,0.303309195838418,0.308646061031867,0.316699975318921,0.330208533576266,0.357412755599305
-0.375925903885838,1,4,4,-0.413575340198655,-0.421453161018861,-0.433430108076139,-0.453773206443073,-0.495806685952291
-0.200083038352745,1,5,5,-0.218000101074978,-0.221655528906455,-0.227146596963951,-0.236284142444673,-0.254387435615498
0.417985405765914,1,6,6,0.461323178005993,0.470460432371643,0.484401950100432,0.508225343649484,0.558052228235107
0.00149480339785461,1,7,7,0.00162246276589211,0.0016482201578161,0.0016867055845613,0.00175015949155303,0.00187345972520171
-1.09223044736718,1,8,8,-1.33296482592374,-1.39236715679234,-1.48980981250326,-1.67738998615751,-2.17157324673943
0.630221073202698,1,9,9,0.710681466816769,0.728410795111438,0.756022811326753,0.804848684927493,0.91410226617226
-0.0710322923259085,1,10,10,-0.0771356052262258,-0.0783688235598805,-0.0802127213696511,-0.083256567819799,-0.0891863146394546
-0.865367446261674,1,11,11,-1.01012397730663,-1.04384185113751,-1.09771006636745,-1.19703625497782,-1.43798961305312
-0.181259035956615,1,12,12,-0.197355349377788,-0.200632948705754,-0.20555187267891,-0.213724231601986,-0.229861302821571
0.651969647062084,1,13,13,0.737204424546401,0.756078256107186,0.785539381360212,0.837830283144802,0.955691957139552
-1.14477555520819,1,14,14,-1.41388620377152,-1.48122047918666,-1.59238282973584,-1.8086110546428,-2.38973421475729
0.258591101401134,1,15,15,0.282469828120208,0.287376067877778,0.294771015182117,0.307148257241348,0.331966402597803
0.998078589787022,1,16,16,1.1941214563568,1.24133033567435,1.31790963541215,1.46266612685976,1.83095686844315
-0.933877611594587,1,17,17,-1.10353252080862,-1.14372816286223,-1.20844747168221,-1.32930927818752,-1.62974188646675
-1.42194253436961,1,18,18,-1.89072869210947,-2.01744077291506,-2.2342435801445,-2.68119853038788,-4.02458386485666
0.514388721311022,1,19,19,0.572657228573792,0.585178570900873,0.604454290822564,0.63788784190501,0.709921938078517
2.44382422891134,1,20,20,5.10578008749914,6.12831644200004,8.20456712555618,13.8744237845521,43.7990004840814
-0.22656793834314,1,21,21,-0.247122862820456,-0.251329099329315,-0.257656692715723,-0.268212377186242,-0.289233202910587
-1.2840505770301,1,22,22,-1.64202875132129,-1.73506370856077,-1.89136860529764,-2.20418838781682,-3.09215037233742
-0.45665064669352,1,23,23,-0.505638810205403,-0.516044000642373,-0.531975229925766,-0.559357666984074,-0.617299305670745
-0.935732933783453,1,24,24,-1.10610744715676,-1.14649238064655,-1.21153032830498,-1.33302942797596,-1.63524743752013
-0.199234311210632,1,25,25,-0.217068357644269,-0.220706517314606,-0.226171406906013,-0.235264706629703,-0.253277521778777
1.48841187979808,1,26,26,2.02010525496611,2.16666132105382,2.41971967397002,2.94923164059712,4.58725748817821
2.18705102892805,1,27,27,3.96080426512394,4.57818839166575,5.77091454666389,8.77004465653483,22.136877162499
1.15050623861158,1,28,28,1.42287165869662,1.49112465986111,1.60388308017785,1.82346720902299,2.41490635519098
-0.264354464397425,1,29,29,-0.288848513927207,-0.293885083812985,-0.301479281203079,-0.314198060427789,-0.339734344045714
0.115411670818373,1,30,30,0.125426938484126,0.127455327124391,0.130491580607007,0.135513517984328,0.145337142793452
1.03907501116006,1,31,31,1.25365593144943,1.30587638651475,1.39099528073949,1.55316503674159,1.97202147832871
2.59136713948592,1,32,32,5.93536482120896,7.29882793608707,10.1543042580444,18.3653749135151,66.5901933230071
-0.223176383321266,1,33,33,-0.243388195354876,-0.247522552907816,-0.253740815920458,-0.264110682297357,-0.28474728230047
0.4486608728038,1,34,34,0.496446273623772,0.506580211819939,0.52208483106272,0.548701452948366,0.604885411541533
-1.02913118627637,1,35,35,-1.23908901562475,-1.29005336800963,-1.37302709443024,-1.53080704876264,-1.93683219867981
-0.0657803806403901,1,36,36,-0.0714275492284244,-0.0725683671884104,-0.0742739401898906,-0.0770889629991272,-0.0825709545794998
0.0463305757107074,1,37,37,0.0502975646208723,0.0510984615408054,0.0522954776536894,0.0542701064478881,0.0581112787917084
0.828783714337706,1,38,38,0.961507906176377,0.992147802657662,1.04089855767405,1.13018874793643,1.34402895686078
0.0876074878048905,1,39,39,0.0951588019350375,0.096685737515235,0.0989696219960573,0.102742136480741,0.110101094052924
1.06517362260963,1,40,40,1.29228695172739,1.34793298593838,1.4389178103784,1.61314267935335,2.06751598956467
0.0369497035012071,1,41,41,0.0401104872391124,0.0407484766300274,0.041701909036704,0.0432744215200333,0.0463321609662003
1.37305000589295,1,42,42,1.79966534559576,1.91336142285361,2.10661904082379,2.50079697645375,3.66133097250792
0.920519289293249,1,43,43,1.08506562278607,1.12392072656944,1.18638591723281,1.30274711508102,1.59061109750251
-0.23074797675549,1,44,44,-0.251728034812317,-0.256023431270562,-0.262486709709304,-0.273273203104695,-0.29477209881255
-1.0590542584524,1,45,45,-1.28317653242374,-1.33800230862655,-1.42758046712963,-1.59890775838526,-2.04470734607665
-0.792457864013995,1,46,46,-0.914041572346678,-0.941864273347852,-0.985954957532665,-1.06617979320948,-1.25589232669896
-0.0801947514011455,1,47,47,-0.0870968147232404,-0.0884919749992292,-0.0905784037849708,-0.0940237462103192,-0.100740318318013
0.237373402158492,1,48,48,0.259032508622365,0.263470543310876,0.270151051575252,0.281307524122945,0.303574628741367
1.13637800072134,1,49,49,1.40077725337771,1.46678484589049,1.57564489499701,1.78704059600424,2.3533560485733
0.777278360269615,1,50,50,0.894433873198767,0.921145890441793,0.963405962236314,1.04009004710809,1.22047819023549
0.0679113735548068,1,51,51,0.0737434845263164,0.0749217592840704,0.0766834008902828,0.0795911613886167,0.0852545628606726
1.34980606727823,1,52,52,1.75751684961051,1.86545602178152,2.04836336332054,2.4195648921008,3.5019338412682
-1.0071813181812,1,53,53,-1.20722255050888,-1.25550660751885,-1.33391362166246,-1.48238296481948,-1.86137969289864
0.889023403824414,1,54,54,1.04201748652833,1.0778627437228,1.13528289606425,1.24162162967182,1.50175543593693
-0.120747722427547,1,55,55,-0.131241790305611,-0.133367900325383,-0.136550972946767,-0.141817297057222,-0.152125358013026
0.669602322437795,1,56,56,0.758863516988994,0.778708577131155,0.809743161232822,0.864995402051569,0.990272919978456
0.965645615081792,1,57,57,1.14796928122403,1.1915137315141,1.26188244066409,1.39408241192895,1.72648347974602
0.886454622853404,1,58,58,1.038536287,1.07414512313136,1.13116995819369,1.23672639536967,1.49471123946557
-0.078654545026377,1,59,59,-0.0854220595825361,-0.0867899277000593,-0.0888354731044305,-0.0922131083062719,-0.0987968806585141
-0.490641403910177,1,60,60,-0.544963643938148,-0.556580246038531,-0.57442263975995,-0.605252988832991,-0.67118175209309
0.491524641085665,1,61,61,0.545990333441217,0.557639700061933,0.575533913989241,0.606458127291254,0.672605945484876
0.433262297962921,1,62,62,0.478781962502517,0.488406894696375,0.503112352510952,0.52829834116278,0.581215539701602
-0.853872365283722,1,63,63,-0.99475737868478,-1.02748100697001,-1.07969332650993,-1.17576318641052,-1.40787478010879
-0.530320304822377,1,64,64,-0.59134330849492,-0.604500252910754,-0.624785793979648,-0.660061750204988,-0.736453312660039
-0.0306721204041032,1,65,65,-0.0332945569767291,-0.0338238192377105,-0.034614719747441,-0.035919032761796,-0.0384547137959525
-0.0541437621935241,1,66,66,-0.0587841345089883,-0.0597211909875602,-0.0611218622478292,-0.0634328796750009,-0.0679302017047753
0.733226173667787,1,67,67,0.838249494739836,0.861946429725527,0.899257239482595,0.966430020239575,1.12206605945197
0.460241498422432,1,68,68,0.509776397290403,0.520305126065271,0.536430814467832,0.56416280483506,0.622908761759573
-0.168839021519345,1,69,69,-0.183756243998165,-0.186790154242299,-0.191340763011987,-0.198893784859535,-0.213777357690918
0.787435056512799,1,70,70,0.907539018696108,0.93498997904781,0.978467536671069,1.05750515128706,1.24408479094463
1.58146549941215,1,71,71,2.2131054933255,2.39217828448246,2.70549349406256,3.37532874422527,5.53589483733871
-0.133116538821155,1,72,72,-0.144728834144947,-0.147083560456143,-0.15061039249403,-0.156449718672424,-0.167896899878703
-2.01061831726615,1,73,73,-3.34065698382814,-3.77499441077158,-4.58816233462324,-6.52993288734784,-14.3261025877348
0.513750435524263,1,74,74,0.571910407291135,0.584406772873458,0.603642858189564,0.637004234801722,0.708868233524976
1.75907835481547,1,75,75,2.6264529287935,2.88656244001087,3.3539361579275,4.39741241573004,8.062000929343
1.87574541634549,1,76,76,2.93631730093903,3.26691038693642,3.87204850297255,5.26465372526928,10.4578588260035
